CustomerID,Recency,Frequency,Monetary,R,M,F,RFMsum
2.0,16,33,93730.0,2,2,2,6
3.0,328,3,38448.0,4,4,4,12
4.0,22,8,18051.0,2,4,4,10
6.0,108,5,7596.0,4,4,4,12
8.0,237,6,13980.0,4,4,4,12
10.0,16,4,20856.0,2,4,4,10
11.0,9,15,79738.0,1,2,4,7
13.0,18,19,34647.0,2,4,4,10
14.0,57,9,21012.0,3,4,4,11
15.0,170,4,10650.0,4,4,4,12
16.0,12,40,95351.0,2,2,2,6
18.0,38,1,1100.0,3,4,4,11
20.0,38,4,8946.0,3,4,4,11
21.0,17,5,17132.0,2,4,4,10
22.0,61,4,12060.0,3,4,4,11
23.0,81,16,58494.0,3,2,4,9
24.0,140,2,9092.0,4,4,4,12
25.0,29,1,2160.0,3,4,4,11
26.0,41,2,7790.0,3,4,4,11
27.0,171,17,36482.0,4,4,4,12
28.0,12,19,45875.0,2,4,4,10
29.0,74,5,12950.0,3,4,4,11
30.0,26,9,31884.0,3,4,4,11
31.0,120,12,29152.0,4,4,4,12
32.0,272,18,58153.0,4,2,4,10
33.0,42,1,1890.0,3,4,4,11
34.0,367,2,7536.0,4,4,4,12
35.0,78,7,17910.0,3,4,4,11
36.0,82,7,19980.0,3,4,4,11
38.0,224,4,9444.0,4,4,4,12
39.0,106,3,8304.0,4,4,4,12
40.0,9,37,99495.0,1,2,2,5
41.0,70,18,48720.0,3,4,4,11
42.0,51,12,32514.0,3,4,4,11
43.0,125,3,21288.0,4,4,4,12
45.0,328,3,8796.0,4,4,4,12
47.0,152,4,18072.0,4,4,4,12
48.0,27,11,30828.0,3,4,4,11
49.0,58,1,2225.0,3,4,4,11
50.0,9,19,82088.0,1,2,4,7
51.0,82,8,85230.0,3,2,4,9
52.0,171,5,9412.0,4,4,4,12
53.0,83,7,23838.0,3,4,4,11
54.0,19,7,16284.0,2,4,4,10
56.0,25,74,1636053.0,3,1,2,6
57.0,38,12,23764.0,3,4,4,11
58.0,114,4,7884.0,4,4,4,12
60.0,22,6,9426.0,2,4,4,10
61.0,11,2,4978.0,2,4,4,10
62.0,7,14,26238.0,1,4,4,9
63.0,74,1,1524.0,3,4,4,11
64.0,84,1,2928.0,3,4,4,11
65.0,136,5,15144.0,4,4,4,12
66.0,64,1,2892.0,3,4,4,11
67.0,12,23,59546.0,2,2,4,8
68.0,69,15,73220.0,3,2,4,9
69.0,52,1,1800.0,3,4,4,11
70.0,10,58,282188.0,1,1,2,4
71.0,51,15,105956.0,3,2,4,9
72.0,1,96,448940.0,1,1,1,3
73.0,230,3,-909.0,4,4,4,12
74.0,88,4,84646.0,4,2,4,10
75.0,164,1,1848.0,4,4,4,12
76.0,69,9,25236.0,3,4,4,11
77.0,146,8,20014.0,4,4,4,12
78.0,367,2,4275.0,4,4,4,12
79.0,7,3,6360.0,1,4,4,9
80.0,26,12,26098.0,3,4,4,11
81.0,25,2,6468.0,3,4,4,11
82.0,58,3,6432.0,3,4,4,11
83.0,244,5,13810.0,4,4,4,12
84.0,50,4,15529.0,3,4,4,11
85.0,12,33,101212.0,2,2,2,6
87.0,22,38,154742.0,2,1,2,5
88.0,21,2,4192.0,2,4,4,10
89.0,144,3,7077.0,4,4,4,12
90.0,63,1,35568.0,3,4,4,11
92.0,51,9,27047.0,3,4,4,11
93.0,89,6,15623.0,4,4,4,12
94.0,78,5,20578.0,3,4,4,11
95.0,43,2,3276.0,3,4,4,11
96.0,27,2,2784.0,3,4,4,11
97.0,58,14,33604.0,3,4,4,11
99.0,22,4,8808.0,2,4,4,10
100.0,44,5,15196.0,3,4,4,11
101.0,5,54,235132.0,1,1,2,4
102.0,18,45,92476.0,2,2,2,6
103.0,56,11,20871.0,3,4,4,11
104.0,24,50,127282.0,2,2,2,6
105.0,55,2,5350.0,3,4,4,11
106.0,22,20,62418.0,2,2,4,8
107.0,24,22,181013.0,2,1,4,7
108.0,6,3,8198.0,1,4,4,9
109.0,191,1,552.0,4,4,4,12
110.0,19,16,76013.0,2,2,4,8
111.0,19,19,45721.0,2,4,4,10
112.0,20,9,35374.0,2,4,4,10
113.0,49,16,18057.0,3,4,4,11
114.0,84,3,14856.0,3,4,4,11
115.0,141,1,1374.0,4,4,4,12
116.0,9,23,72492.0,1,2,4,7
117.0,253,3,6796.0,4,4,4,12
118.0,66,2,5166.0,3,4,4,11
119.0,258,1,3706.0,4,4,4,12
120.0,43,9,12124.0,3,4,4,11
122.0,24,1,1690.0,2,4,4,10
123.0,28,15,204996.0,3,1,4,8
124.0,19,20,29697.0,2,4,4,10
125.0,41,13,28349.0,3,4,4,11
129.0,239,1,301.0,4,4,4,12
131.0,9,4,1349.0,1,4,4,9
132.0,200,1,1450.0,4,4,4,12
133.0,327,6,14330.0,4,4,4,12
134.0,163,2,1836.0,4,4,4,12
135.0,116,2,3610.0,4,4,4,12
136.0,269,7,13398.0,4,4,4,12
138.0,182,5,16176.0,4,4,4,12
139.0,14,21,29509.0,2,4,4,10
140.0,4,13,35522.0,1,4,4,9
141.0,40,4,9654.0,3,4,4,11
142.0,84,13,33744.0,3,4,4,11
143.0,144,5,9872.0,4,4,4,12
